text,label,original_intent,split
what is the meaning of realism,faq,definition,train
what is regard mean,faq,definition,train
what is the meaning of interorganizational,faq,definition,train
what is it is all relative mean,faq,definition,train
what is intercontinental mean,faq,definition,train
what is the meaning of supercede,faq,definition,train
what is let it be mean,faq,definition,train
what is the definition of incomprehensible,faq,definition,train
what is the meaning of stupendous,faq,definition,train
what is the definition of intelligent,faq,definition,train
what is good riddance mean,faq,definition,train
what is break a leg mean,faq,definition,train
what is the meaning of hyperactive,faq,definition,train
what is the definition of valor,faq,definition,train
what is stupedous meant,faq,definition,train
find the meaning of qat,faq,definition,train
what the heck is qat,faq,definition,train
define qat for me,faq,definition,train
read me a definition for qat,faq,definition,train
look up qat please,faq,definition,train
what might the meaning of altruism be,faq,definition,train
exactly what does altruism mean,faq,definition,train
what does altruism mean,faq,definition,train
what is the definition of altruism,faq,definition,train
what is the meaning of altruism,faq,definition,train
affiliate's definition is what,faq,definition,train
the definition of affiliate is,faq,definition,train
what's the meaning of affiliate,faq,definition,train
what's affiliate definition,faq,definition,train
definition of affiliate is what,faq,definition,train
whats the definition of poor,faq,definition,train
"describe the meaning of ""dog",faq,definition,train
"what does ""money"" mean",faq,definition,train
tell me what the word die means,faq,definition,train
what is the definition of succumb,faq,definition,train
what is the meaning of telepathy,faq,definition,train
what does tertiary mean,faq,definition,train
tell me the definition of the word redemption,faq,definition,train
what is the meaning of the word lux,faq,definition,train
what is an ataraxy,faq,definition,train
what does the word ataraxy mean,faq,definition,train
what does ataraxy mean,faq,definition,train
use the word ataraxy in a sentence,faq,definition,train
define ataraxy,faq,definition,train
what does discretionary mean,faq,definition,train
define discretionary,faq,definition,train
i want to know the definition of discretionary,faq,definition,train
can you give the definition of deiscretionary,faq,definition,train
let's hear the definition of iridium,faq,definition,train
what's the definition of analogy,faq,definition,train
can you tell me the definition of sucrose,faq,definition,train
definition of anachronism,faq,definition,train
what's the definition of patriarchy,faq,definition,train
can you tell me the definition of yttrbium,faq,definition,train
please share the definition of episcopalian,faq,definition,train
what does saffron mean,faq,definition,train
define sonogram,faq,definition,train
define thoroughbred,faq,definition,train
what's the meaning of a fortnight,faq,definition,train
what is an anachronism,faq,definition,train
what's the meaning of emulsify,faq,definition,train
tell me what cyst means,faq,definition,train
what is the definition of flange,faq,definition,train
tell me what flange means,faq,definition,train
define flange,faq,definition,train
flange means what,faq,definition,train
what is the meaning of flange,faq,definition,train
"what does ""rescind"" mean",faq,definition,train
"what is the meaning of word ""rescind",faq,definition,train
"is ""rescind"" a word of positive connotation",faq,definition,train
"where i can use word ""rescind",faq,definition,train
read me the definition of ajar,faq,definition,train
what does ajar mean,faq,definition,train
can you show me the dictionary definition of ajar,faq,definition,train
tell me what monstrosity means,faq,definition,train
give me the definition of ajar,faq,definition,train
what is the definition of didactic,faq,definition,train
i need to know what adumbrate means can you look it up for me now,faq,definition,train
i want to know what the word discomfit means,faq,definition,train
find what the word diaphanous mean please,faq,definition,train
do you know what calumny means  please look it up for me,faq,definition,train
find out what the word abrogate means for me,faq,definition,train
tell me what edict means,faq,definition,train
what does the word abjure mean,faq,definition,train
can you tell me what dirge means,faq,definition,train
tell me what the word arboreal means,faq,definition,train
whats the definition of transmute,faq,definition,train
what is the meaning of the word slander,faq,definition,train
what is meant by defense,faq,definition,train
tell me what the word bounty means,faq,definition,train
what does deceive mean,faq,definition,train
define zesty,faq,definition,train
look up zesty in dictionary,faq,definition,train
definition of zesty,faq,definition,train
what is the definition of zesty,faq,definition,train
what does zesty mean,faq,definition,train
